,year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
1462,2023,8,WN,Southwest Airlines Co.,SEA,"Seattle, WA: Seattle/Tacoma International",875.0,245.0,84.86,6.22,46.83,0.0,107.1,4.0,3.0,11656.0,3804.0,845.0,1695.0,0.0,5312.0
1463,2023,8,WN,Southwest Airlines Co.,SFO,"San Francisco, CA: San Francisco International",772.0,260.0,58.07,4.79,70.22,0.11,126.81,18.0,0.0,13316.0,2470.0,485.0,3082.0,2.0,7277.0
1464,2023,8,WN,Southwest Airlines Co.,SJC,"San Jose, CA: Norman Y. Mineta San Jose International",3009.0,647.0,199.62,1.28,62.78,0.0,383.32,66.0,0.0,30493.0,8530.0,65.0,2309.0,0.0,19589.0
1466,2023,8,WN,Southwest Airlines Co.,SLC,"Salt Lake City, UT: Salt Lake City International",1036.0,228.0,93.73,3.33,25.19,0.6,105.15,11.0,4.0,10047.0,3615.0,232.0,1024.0,58.0,5118.0
1470,2023,8,WN,Southwest Airlines Co.,STL,"St. Louis, MO: St Louis Lambert International",3406.0,760.0,217.77,16.61,142.78,7.86,374.98,26.0,1.0,33766.0,8898.0,1118.0,5159.0,239.0,18352.0
1657,2023,7,AA,American Airlines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",762.0,308.0,111.1,23.11,45.93,0.0,127.87,8.0,6.0,32750.0,11237.0,2421.0,2650.0,0.0,16442.0
1677,2023,7,AA,American Airlines Inc.,CLT,"Charlotte, NC: Charlotte Douglas International",10072.0,2806.0,691.18,150.44,652.07,4.1,1308.21,201.0,24.0,310431.0,98773.0,13865.0,38415.0,149.0,159229.0
1683,2023,7,AA,American Airlines Inc.,DEN,"Denver, CO: Denver International",723.0,319.0,96.21,12.97,105.35,0.56,103.9,7.0,4.0,24784.0,7891.0,1293.0,5460.0,26.0,10114.0
1684,2023,7,AA,American Airlines Inc.,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",14701.0,4142.0,1131.83,211.23,715.04,14.84,2069.07,130.0,26.0,438783.0,162563.0,16369.0,31163.0,729.0,227959.0
1692,2023,7,AA,American Airlines Inc.,EWR,"Newark, NJ: Newark Liberty International",644.0,266.0,70.12,17.4,80.61,0.03,97.85,44.0,2.0,24831.0,6860.0,1600.0,5676.0,1.0,10694.0
1711,2023,7,AA,American Airlines Inc.,JFK,"New York, NY: John F. Kennedy International",1202.0,415.0,92.07,25.62,215.04,0.51,81.75,46.0,7.0,42811.0,9141.0,2810.0,15598.0,11.0,15251.0
1714,2023,7,AA,American Airlines Inc.,LAX,"Los Angeles, CA: Los Angeles International",2581.0,691.0,223.0,41.72,134.16,1.96,290.15,26.0,4.0,59347.0,20833.0,3765.0,6076.0,55.0,28618.0
1717,2023,7,AA,American Airlines Inc.,LGA,"New York, NY: LaGuardia",1473.0,483.0,131.99,43.1,147.16,1.95,158.8,70.0,17.0,44156.0,12009.0,3757.0,12851.0,107.0,15432.0
1730,2023,7,AA,American Airlines Inc.,MSP,"Minneapolis, MN: Minneapolis-St Paul International",338.0,102.0,34.83,5.96,11.87,0.0,49.34,2.0,3.0,6944.0,2550.0,347.0,498.0,0.0,3549.0
1738,2023,7,AA,American Airlines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",4254.0,1273.0,329.88,58.12,405.56,5.11,474.33,104.0,27.0,124007.0,39744.0,4650.0,25468.0,192.0,53953.0
1743,2023,7,AA,American Airlines Inc.,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",4391.0,1010.0,344.34,39.72,123.71,2.06,500.17,25.0,8.0,134307.0,49716.0,4368.0,5894.0,120.0,74209.0
1761,2023,7,AA,American Airlines Inc.,SEA,"Seattle, WA: Seattle/Tacoma International",614.0,224.0,83.06,12.2,51.75,1.03,75.96,14.0,2.0,21288.0,8717.0,815.0,2154.0,114.0,9488.0
1762,2023,7,AA,American Airlines Inc.,SFO,"San Francisco, CA: San Francisco International",901.0,338.0,109.36,15.45,78.61,0.91,133.67,9.0,0.0,27436.0,7609.0,1518.0,3430.0,50.0,14829.0
1763,2023,7,AA,American Airlines Inc.,SJC,"San Jose, CA: Norman Y. Mineta San Jose International",152.0,44.0,18.47,0.77,3.6,0.0,21.16,0.0,0.0,4329.0,1729.0,72.0,222.0,0.0,2306.0
1765,2023,7,AA,American Airlines Inc.,SLC,"Salt Lake City, UT: Salt Lake City International",318.0,141.0,49.9,2.25,26.61,0.16,62.06,1.0,0.0,10984.0,3243.0,81.0,927.0,15.0,6718.0
